Tanggal,Harga Beras Per Kilo (Rupiah)
1/1/2010,6702.49
2/1/2010,6887.83
3/1/2010,6853.78
4/1/2010,6761.49
5/1/2010,6772.46
6/1/2010,6873.45
7/1/2010,7025.88
8/1/2010,7317.51
9/1/2010,7350.8
10/1/2010,7391.27
11/1/2010,7457.08
12/1/2010,7617.46
1/1/2011,7853.48
2/1/2011,7612.37
3/1/2011,7371.25
4/1/2011,7199.03
5/1/2011,7233.47
6/1/2011,7463.1
7/1/2011,7899.41
8/1/2011,8152.01
9/1/2011,8255.34
10/1/2011,8416.09
11/1/2011,8496.46
12/1/2011,8726.09
1/1/2012,8726.09
2/1/2012,8777.55
3/1/2012,8687.01
4/1/2012,8582.55
5/1/2012,8536.89
6/1/2012,8554.3
7/1/2012,8606.15
8/1/2012,8635.17
9/1/2012,8623.56
10/1/2012,8624.33
11/1/2012,8654.51
12/1/2012,8702.1
1/1/2013,8834.82
2/1/2013,8842.94
3/1/2013,8782.58
4/1/2013,8711.39
5/1/2013,8681.21
6/1/2013,8784.42
7/1/2013,9017.72
8/1/2013,9056.67
9/1/2013,9057.99
10/1/2013,9108.46
11/1/2013,9152.07
12/1/2013,9262
1/1/2014,9433.17
2/1/2014,9531.2
3/1/2014,9595.89
4/1/2014,9424.65
5/1/2014,9413.91
6/1/2014,9462.01
7/1/2014,9525.38
8/1/2014,9525.38
9/1/2014,9693.67
10/1/2014,9780.91
11/1/2014,9924.39
12/1/2014,10343.98
1/1/2015,10612.11
2/1/2015,10765.74
3/1/2015,10986.76
4/1/2015,10648.34
5/1/2015,10568.63
6/1/2015,10679
7/1/2015,10732
8/1/2015,10935
9/1/2015,11055
10/1/2015,11169
11/1/2015,11365
12/1/2015,11465
1/1/2016,11614.37
2/1/2016,11729.36
3/1/2016,11677.75
4/1/2016,11449
5/1/2016,11417
6/1/2016,11469
7/1/2016,11498
8/1/2016,11475
9/1/2016,11448
10/1/2016,11432.58
11/1/2016,11450
12/1/2016,11476
1/1/2017,11579
2/1/2017,11571.24
3/1/2017,11494
4/1/2017,11449
5/1/2017,11465
6/1/2017,11465
7/1/2017,11448
8/1/2017,11411
9/1/2017,11481.84
10/1/2017,11552
11/1/2017,11665.08
12/1/2017,11838
1/1/2018,12276
2/1/2018,12414
3/1/2018,12299
4/1/2018,12035
5/1/2018,11943
6/1/2018,11907.26
7/1/2018,11936
8/1/2018,11899
9/1/2018,11900
10/1/2018,11926.21
11/1/2018,12013
12/1/2018,12105.77
1/1/2019,12211.09
2/1/2019,12222
3/1/2019,12124
4/1/2019,12019
5/1/2019,12008
6/1/2019,12009
7/1/2019,12021
8/1/2019,12018
9/1/2019,12050
10/1/2019,12108
11/1/2019,12120
12/1/2019,12183.03
1/1/2020,12342.74
2/1/2020,12355.15
3/1/2020,12368
4/1/2020,12382.1
5/1/2020,12293.03
6/1/2020,12223.98
7/1/2020,12212.63
8/1/2020,12212.07
9/1/2020,12188.86
10/1/2020,12186.97
11/1/2020,12178.62
12/1/2020,12184.52
1/1/2021,12185.56
2/1/2021,12191.05
3/1/2021,12127.15
4/1/2021,12049
5/1/2021,12082.49
6/1/2021,12081.19
7/1/2021,12054.04
8/1/2021,12043.94
9/1/2021,12043.18
10/1/2021,12061.41
11/1/2021,12070.38
12/1/2021,12134
1/1/2022,12210.86
2/1/2022,12182.07
3/1/2022,12172.49
4/1/2022,12164.2
5/1/2022,12155
6/1/2022,12156
7/1/2022,12155
8/1/2022,12276
9/1/2022,12397
