No,Tanggal,Harga Beras Per Kilo (Rupiah)
1,1/1/2010,6702.49
2,2/1/2010,6887.83
3,3/1/2010,6853.78
4,4/1/2010,6761.49
5,5/1/2010,6772.46
6,6/1/2010,6873.45
7,7/1/2010,7025.88
8,8/1/2010,7317.51
9,9/1/2010,7350.8
10,10/1/2010,7391.27
11,11/1/2010,7457.08
12,12/1/2010,7617.46
13,1/1/2011,7853.48
14,2/1/2011,7612.37
15,3/1/2011,7371.25
16,4/1/2011,7199.03
17,5/1/2011,7233.47
18,6/1/2011,7463.1
19,7/1/2011,7899.41
20,8/1/2011,8152.01
21,9/1/2011,8255.34
22,10/1/2011,8416.09
23,11/1/2011,8496.46
24,12/1/2011,8726.09
25,1/1/2012,8726.09
26,2/1/2012,8777.55
27,3/1/2012,8687.01
28,4/1/2012,8582.55
29,5/1/2012,8536.89
30,6/1/2012,8554.3
31,7/1/2012,8606.15
32,8/1/2012,8635.17
33,9/1/2012,8623.56
34,10/1/2012,8624.33
35,11/1/2012,8654.51
36,12/1/2012,8702.1
37,1/1/2013,8834.82
38,2/1/2013,8842.94
39,3/1/2013,8782.58
40,4/1/2013,8711.39
41,5/1/2013,8681.21
42,6/1/2013,8784.42
43,7/1/2013,9017.72
44,8/1/2013,9056.67
45,9/1/2013,9057.99
46,10/1/2013,9108.46
47,11/1/2013,9152.07
48,12/1/2013,9262
49,1/1/2014,9433.17
50,2/1/2014,9531.2
51,3/1/2014,9595.89
52,4/1/2014,9424.65
53,5/1/2014,9413.91
54,6/1/2014,9462.01
55,7/1/2014,9525.38
56,8/1/2014,9525.38
57,9/1/2014,9693.67
58,10/1/2014,9780.91
59,11/1/2014,9924.39
60,12/1/2014,10343.98
61,1/1/2015,10612.11
62,2/1/2015,10765.74
63,3/1/2015,10986.76
64,4/1/2015,10648.34
65,5/1/2015,10568.63
66,6/1/2015,10679
67,7/1/2015,10732
68,8/1/2015,10935
69,9/1/2015,11055
70,10/1/2015,11169
71,11/1/2015,11365
72,12/1/2015,11465
73,1/1/2016,11614.37
74,2/1/2016,11729.36
75,3/1/2016,11677.75
76,4/1/2016,11449
77,5/1/2016,11417
78,6/1/2016,11469
79,7/1/2016,11498
80,8/1/2016,11475
81,9/1/2016,11448
82,10/1/2016,11432.58
83,11/1/2016,11450
84,12/1/2016,11476
85,1/1/2017,11579
86,2/1/2017,11571.24
87,3/1/2017,11494
88,4/1/2017,11449
89,5/1/2017,11465
90,6/1/2017,11465
91,7/1/2017,11448
92,8/1/2017,11411
93,9/1/2017,11481.84
94,10/1/2017,11552
95,11/1/2017,11665.08
96,12/1/2017,11838
97,1/1/2018,12276
98,2/1/2018,12414
99,3/1/2018,12299
100,4/1/2018,12035
101,5/1/2018,11943
102,6/1/2018,11907.26
103,7/1/2018,11936
104,8/1/2018,11899
105,9/1/2018,11900
106,10/1/2018,11926.21
107,11/1/2018,12013
108,12/1/2018,12105.77
109,1/1/2019,12211.09
110,2/1/2019,12222
111,3/1/2019,12124
112,4/1/2019,12019
113,5/1/2019,12008
114,6/1/2019,12009
115,7/1/2019,12021
116,8/1/2019,12018
117,9/1/2019,12050
118,10/1/2019,12108
119,11/1/2019,12120
120,12/1/2019,12183.03
121,1/1/2020,12342.74
122,2/1/2020,12355.15
123,3/1/2020,12368
124,4/1/2020,12382.1
125,5/1/2020,12293.03
126,6/1/2020,12223.98
127,7/1/2020,12212.63
128,8/1/2020,12212.07
129,9/1/2020,12188.86
130,10/1/2020,12186.97
131,11/1/2020,12178.62
132,12/1/2020,12184.52
133,1/1/2021,12185.56
134,2/1/2021,12191.05
135,3/1/2021,12127.15
136,4/1/2021,12049
137,5/1/2021,12082.49
138,6/1/2021,12081.19
139,7/1/2021,12054.04
140,8/1/2021,12043.94
141,9/1/2021,12043.18
142,10/1/2021,12061.41
143,11/1/2021,12070.38
144,12/1/2021,12134
145,1/1/2022,12210.86
146,2/1/2022,12182.07
147,3/1/2022,12172.49
148,4/1/2022,12164.2
149,5/1/2022,12155
150,6/1/2022,12156
151,7/1/2022,12155
152,8/1/2022,12276
153,9/1/2022,12397
