,Tanggal,Harga Beras Per Kilo (Rupiah)
0,1/1/2010,6702.49
1,2/1/2010,6887.83
2,3/1/2010,6853.78
3,4/1/2010,6761.49
4,5/1/2010,6772.46
5,6/1/2010,6873.45
6,7/1/2010,7025.88
7,8/1/2010,7317.51
8,9/1/2010,7350.8
9,10/1/2010,7391.27
10,11/1/2010,7457.08
11,12/1/2010,7617.46
12,1/1/2011,7853.48
13,2/1/2011,7612.37
14,3/1/2011,7371.25
15,4/1/2011,7199.03
16,5/1/2011,7233.47
17,6/1/2011,7463.1
18,7/1/2011,7899.41
19,8/1/2011,8152.01
20,9/1/2011,8255.34
21,10/1/2011,8416.09
22,11/1/2011,8496.46
23,12/1/2011,8726.09
24,1/1/2012,8726.09
25,2/1/2012,8777.55
26,3/1/2012,8687.01
27,4/1/2012,8582.55
28,5/1/2012,8536.89
29,6/1/2012,8554.3
30,7/1/2012,8606.15
31,8/1/2012,8635.17
32,9/1/2012,8623.56
33,10/1/2012,8624.33
34,11/1/2012,8654.51
35,12/1/2012,8702.1
36,1/1/2013,8834.82
37,2/1/2013,8842.94
38,3/1/2013,8782.58
39,4/1/2013,8711.39
40,5/1/2013,8681.21
41,6/1/2013,8784.42
42,7/1/2013,9017.72
43,8/1/2013,9056.67
44,9/1/2013,9057.99
45,10/1/2013,9108.46
46,11/1/2013,9152.07
47,12/1/2013,9262
48,1/1/2014,9433.17
49,2/1/2014,9531.2
50,3/1/2014,9595.89
51,4/1/2014,9424.65
52,5/1/2014,9413.91
53,6/1/2014,9462.01
54,7/1/2014,9525.38
55,8/1/2014,9525.38
56,9/1/2014,9693.67
57,10/1/2014,9780.91
58,11/1/2014,9924.39
59,12/1/2014,10343.98
60,1/1/2015,10612.11
61,2/1/2015,10765.74
62,3/1/2015,10986.76
63,4/1/2015,10648.34
64,5/1/2015,10568.63
65,6/1/2015,10679
66,7/1/2015,10732
67,8/1/2015,10935
68,9/1/2015,11055
69,10/1/2015,11169
70,11/1/2015,11365
71,12/1/2015,11465
72,1/1/2016,11614.37
73,2/1/2016,11729.36
74,3/1/2016,11677.75
75,4/1/2016,11449
76,5/1/2016,11417
77,6/1/2016,11469
78,7/1/2016,11498
79,8/1/2016,11475
80,9/1/2016,11448
81,10/1/2016,11432.58
82,11/1/2016,11450
83,12/1/2016,11476
84,1/1/2017,11579
85,2/1/2017,11571.24
86,3/1/2017,11494
87,4/1/2017,11449
88,5/1/2017,11465
89,6/1/2017,11465
90,7/1/2017,11448
91,8/1/2017,11411
92,9/1/2017,11481.84
93,10/1/2017,11552
94,11/1/2017,11665.08
95,12/1/2017,11838
96,1/1/2018,12276
97,2/1/2018,12414
98,3/1/2018,12299
99,4/1/2018,12035
100,5/1/2018,11943
101,6/1/2018,11907.26
102,7/1/2018,11936
103,8/1/2018,11899
104,9/1/2018,11900
105,10/1/2018,11926.21
106,11/1/2018,12013
107,12/1/2018,12105.77
108,1/1/2019,12211.09
109,2/1/2019,12222
110,3/1/2019,12124
111,4/1/2019,12019
112,5/1/2019,12008
113,6/1/2019,12009
114,7/1/2019,12021
115,8/1/2019,12018
116,9/1/2019,12050
117,10/1/2019,12108
118,11/1/2019,12120
119,12/1/2019,12183.03
120,1/1/2020,12342.74
121,2/1/2020,12355.15
122,3/1/2020,12368
123,4/1/2020,12382.1
124,5/1/2020,12293.03
125,6/1/2020,12223.98
126,7/1/2020,12212.63
127,8/1/2020,12212.07
128,9/1/2020,12188.86
129,10/1/2020,12186.97
130,11/1/2020,12178.62
131,12/1/2020,12184.52
132,1/1/2021,12185.56
133,2/1/2021,12191.05
134,3/1/2021,12127.15
135,4/1/2021,12049
136,5/1/2021,12082.49
137,6/1/2021,12081.19
138,7/1/2021,12054.04
139,8/1/2021,12043.94
140,9/1/2021,12043.18
141,10/1/2021,12061.41
142,11/1/2021,12070.38
143,12/1/2021,12134
144,1/1/2022,12210.86
145,2/1/2022,12182.07
146,3/1/2022,12172.49
147,4/1/2022,12164.2
148,5/1/2022,12155
149,6/1/2022,12156
150,7/1/2022,12155
151,8/1/2022,12276
152,9/1/2022,12397
