,Tanggal,Harga Beras Per Kilo (Rupiah)
0,2010-01-01,6702
1,2010-02-01,6888
2,2010-03-01,6854
3,2010-04-01,6761
4,2010-05-01,6772
5,2010-06-01,6873
6,2010-07-01,7026
7,2010-08-01,7318
8,2010-09-01,7351
9,2010-10-01,7391
10,2010-11-01,7457
11,2010-12-01,7617
12,2011-01-01,7853
13,2011-02-01,7612
14,2011-03-01,7371
15,2011-04-01,7199
16,2011-05-01,7233
17,2011-06-01,7463
18,2011-07-01,7899
19,2011-08-01,8152
20,2011-09-01,8255
21,2011-10-01,8416
22,2011-11-01,8496
23,2011-12-01,8726
24,2012-01-01,8726
25,2012-02-01,8778
26,2012-03-01,8687
27,2012-04-01,8583
28,2012-05-01,8537
29,2012-06-01,8554
30,2012-07-01,8606
31,2012-08-01,8635
32,2012-09-01,8624
33,2012-10-01,8624
34,2012-11-01,8655
35,2012-12-01,8702
36,2013-01-01,8835
37,2013-02-01,8843
38,2013-03-01,8783
39,2013-04-01,8711
40,2013-05-01,8681
41,2013-06-01,8784
42,2013-07-01,9018
43,2013-08-01,9057
44,2013-09-01,9058
45,2013-10-01,9108
46,2013-11-01,9152
47,2013-12-01,9262
48,2014-01-01,9433
49,2014-02-01,9531
50,2014-03-01,9596
51,2014-04-01,9425
52,2014-05-01,9414
53,2014-06-01,9462
54,2014-07-01,9525
55,2014-08-01,9525
56,2014-09-01,9694
57,2014-10-01,9781
58,2014-11-01,9924
59,2014-12-01,10344
60,2015-01-01,10612
61,2015-02-01,10766
62,2015-03-01,10987
63,2015-04-01,10648
64,2015-05-01,10569
65,2015-06-01,10679
66,2015-07-01,10732
67,2015-08-01,10935
68,2015-09-01,11055
69,2015-10-01,11169
70,2015-11-01,11365
71,2015-12-01,11465
72,2016-01-01,11614
73,2016-02-01,11729
74,2016-03-01,11678
75,2016-04-01,11449
76,2016-05-01,11417
77,2016-06-01,11469
78,2016-07-01,11498
79,2016-08-01,11475
80,2016-09-01,11448
81,2016-10-01,11433
82,2016-11-01,11450
83,2016-12-01,11476
84,2017-01-01,11579
85,2017-02-01,11571
86,2017-03-01,11494
87,2017-04-01,11449
88,2017-05-01,11465
89,2017-06-01,11465
90,2017-07-01,11448
91,2017-08-01,11411
92,2017-09-01,11482
93,2017-10-01,11552
94,2017-11-01,11665
95,2017-12-01,11838
96,2018-01-01,12276
97,2018-02-01,12414
98,2018-03-01,12299
99,2018-04-01,12035
100,2018-05-01,11943
101,2018-06-01,11907
102,2018-07-01,11936
103,2018-08-01,11899
104,2018-09-01,11900
105,2018-10-01,11926
106,2018-11-01,12013
107,2018-12-01,12106
108,2019-01-01,12211
109,2019-02-01,12222
110,2019-03-01,12124
111,2019-04-01,12019
112,2019-05-01,12008
113,2019-06-01,12009
114,2019-07-01,12021
115,2019-08-01,12018
116,2019-09-01,12050
117,2019-10-01,12108
118,2019-11-01,12120
119,2019-12-01,12183
120,2020-01-01,12343
121,2020-02-01,12355
122,2020-03-01,12368
123,2020-04-01,12382
124,2020-05-01,12293
125,2020-06-01,12224
126,2020-07-01,12213
127,2020-08-01,12212
128,2020-09-01,12189
129,2020-10-01,12187
130,2020-11-01,12179
131,2020-12-01,12185
132,2021-01-01,12186
133,2021-02-01,12191
134,2021-03-01,12127
135,2021-04-01,12049
136,2021-05-01,12082
137,2021-06-01,12081
138,2021-07-01,12054
139,2021-08-01,12044
140,2021-09-01,12043
141,2021-10-01,12061
142,2021-11-01,12070
143,2021-12-01,12134
144,2022-01-01,12211
145,2022-02-01,12182
146,2022-03-01,12172
147,2022-04-01,12164
148,2022-05-01,12155
149,2022-06-01,12156
150,2022-07-01,12155
151,2022-08-01,12276
152,2022-09-01,12397
