,Tanggal,Harga Beras Per Kilo (Rupiah)
0,2010-01-01,"6,702.49"
1,2010-02-01,"6,887.83"
2,2010-03-01,"6,853.78"
3,2010-04-01,"6,761.49"
4,2010-05-01,"6,772.46"
5,2010-06-01,"6,873.45"
6,2010-07-01,"7,025.88"
7,2010-08-01,"7,317.51"
8,2010-09-01,"7,350.80"
9,2010-10-01,"7,391.27"
10,2010-11-01,"7,457.08"
11,2010-12-01,"7,617.46"
12,2011-01-01,"7,853.48"
13,2011-02-01,"7,612.37"
14,2011-03-01,"7,371.25"
15,2011-04-01,"7,199.03"
16,2011-05-01,"7,233.47"
17,2011-06-01,"7,463.10"
18,2011-07-01,"7,899.41"
19,2011-08-01,"8,152.01"
20,2011-09-01,"8,255.34"
21,2011-10-01,"8,416.09"
22,2011-11-01,"8,496.46"
23,2011-12-01,"8,726.09"
24,2012-01-01,"8,726.09"
25,2012-02-01,"8,777.55"
26,2012-03-01,"8,687.01"
27,2012-04-01,"8,582.55"
28,2012-05-01,"8,536.89"
29,2012-06-01,"8,554.30"
30,2012-07-01,"8,606.15"
31,2012-08-01,"8,635.17"
32,2012-09-01,"8,623.56"
33,2012-10-01,"8,624.33"
34,2012-11-01,"8,654.51"
35,2012-12-01,"8,702.10"
36,2013-01-01,"8,834.82"
37,2013-02-01,"8,842.94"
38,2013-03-01,"8,782.58"
39,2013-04-01,"8,711.39"
40,2013-05-01,"8,681.21"
41,2013-06-01,"8,784.42"
42,2013-07-01,"9,017.72"
43,2013-08-01,"9,056.67"
44,2013-09-01,"9,057.99"
45,2013-10-01,"9,108.46"
46,2013-11-01,"9,152.07"
47,2013-12-01,"9,262.00"
48,2014-01-01,"9,433.17"
49,2014-02-01,"9,531.20"
50,2014-03-01,"9,595.89"
51,2014-04-01,"9,424.65"
52,2014-05-01,"9,413.91"
53,2014-06-01,"9,462.01"
54,2014-07-01,"9,525.38"
55,2014-08-01,"9,525.38"
56,2014-09-01,"9,693.67"
57,2014-10-01,"9,780.91"
58,2014-11-01,"9,924.39"
59,2014-12-01,"10,343.98"
60,2015-01-01,"10,612.11"
61,2015-02-01,"10,765.74"
62,2015-03-01,"10,986.76"
63,2015-04-01,"10,648.34"
64,2015-05-01,"10,568.63"
65,2015-06-01,"10,679.00"
66,2015-07-01,"10,732.00"
67,2015-08-01,"10,935.00"
68,2015-09-01,"11,055.00"
69,2015-10-01,"11,169.00"
70,2015-11-01,"11,365.00"
71,2015-12-01,"11,465.00"
72,2016-01-01,"11,614.37"
73,2016-02-01,"11,729.36"
74,2016-03-01,"11,677.75"
75,2016-04-01,"11,449.00"
76,2016-05-01,"11,417.00"
77,2016-06-01,"11,469.00"
78,2016-07-01,"11,498.00"
79,2016-08-01,"11,475.00"
80,2016-09-01,"11,448.00"
81,2016-10-01,"11,432.58"
82,2016-11-01,"11,450.00"
83,2016-12-01,"11,476.00"
84,2017-01-01,"11,579.00"
85,2017-02-01,"11,571.24"
86,2017-03-01,"11,494.00"
87,2017-04-01,"11,449.00"
88,2017-05-01,"11,465.00"
89,2017-06-01,"11,465.00"
90,2017-07-01,"11,448.00"
91,2017-08-01,"11,411.00"
92,2017-09-01,"11,481.84"
93,2017-10-01,"11,552.00"
94,2017-11-01,"11,665.08"
95,2017-12-01,"11,838.00"
96,2018-01-01,"12,276.00"
97,2018-02-01,"12,414.00"
98,2018-03-01,"12,299.00"
99,2018-04-01,"12,035.00"
100,2018-05-01,"11,943.00"
101,2018-06-01,"11,907.26"
102,2018-07-01,"11,936.00"
103,2018-08-01,"11,899.00"
104,2018-09-01,"11,900.00"
105,2018-10-01,"11,926.21"
106,2018-11-01,"12,013.00"
107,2018-12-01,"12,105.77"
108,2019-01-01,"12,211.09"
109,2019-02-01,"12,222.00"
110,2019-03-01,"12,124.00"
111,2019-04-01,"12,019.00"
112,2019-05-01,"12,008.00"
113,2019-06-01,"12,009.00"
114,2019-07-01,"12,021.00"
115,2019-08-01,"12,018.00"
116,2019-09-01,"12,050.00"
117,2019-10-01,"12,108.00"
118,2019-11-01,"12,120.00"
119,2019-12-01,"12,183.03"
120,2020-01-01,"12,342.74"
121,2020-02-01,"12,355.15"
122,2020-03-01,"12,368.00"
123,2020-04-01,"12,382.10"
124,2020-05-01,"12,293.03"
125,2020-06-01,"12,223.98"
126,2020-07-01,"12,212.63"
127,2020-08-01,"12,212.07"
128,2020-09-01,"12,188.86"
129,2020-10-01,"12,186.97"
130,2020-11-01,"12,178.62"
131,2020-12-01,"12,184.52"
132,2021-01-01,"12,185.56"
133,2021-02-01,"12,191.05"
134,2021-03-01,"12,127.15"
135,2021-04-01,"12,049.00"
136,2021-05-01,"12,082.49"
137,2021-06-01,"12,081.19"
138,2021-07-01,"12,054.04"
139,2021-08-01,"12,043.94"
140,2021-09-01,"12,043.18"
141,2021-10-01,"12,061.41"
142,2021-11-01,"12,070.38"
143,2021-12-01,"12,134.00"
144,2022-01-01,"12,210.86"
145,2022-02-01,"12,182.07"
146,2022-03-01,"12,172.49"
147,2022-04-01,"12,164.20"
148,2022-05-01,"12,155.00"
149,2022-06-01,"12,156.00"
150,2022-07-01,"12,155.00"
151,2022-08-01,"12,276.00"
152,2022-09-01,"12,397.00"
